Date,ticker,Open,High,Low,Close,Volume,Daily_Returns_%,MA_20,BB_upper,BB_lower,RSI_14,MACD,MACD_Signal,MACD_Hist,Stoch_%K,Stoch_%D
2020-10-13,AVAX,4.41315023,4.54139188,4.33464584,4.48805379,14050397.56,1.6376424773728138,4.165169879,4.840611678990749,3.4897280790092498,56.305354125376354,-0.06921937958514057,-0.13333736887355782,0.06411798928841725,86.35488592148035,76.34821602921846
2020-10-14,AVAX,4.48389387,4.48544775,4.02253581,4.15005578,10004481.35,-7.531059693471287,4.1443446145,4.7928233906046405,3.495865838395359,47.02087864735302,-0.06423241313526251,-0.11951637772589876,0.05528396459063625,63.149242500415866,76.96473705481537
2020-10-15,AVAX,4.15292787,4.2135414,4.01629039,4.12735307,6998969.66,-0.5470459001878702,4.1150983095,4.705927265184393,3.5242693538156082,49.56782432497713,-0.061404294769856094,-0.10789396113469024,0.04648966636483415,61.590561746787074,70.36489672289443
2020-10-16,AVAX,4.12786557,4.15539265,3.8870107,4.04048023,9790610.43,-2.104807573440759,4.090159892499999,4.6467189605551535,3.5336008244448447,52.17164089731559,-0.06541879559730379,-0.09939892802721297,0.033980132429909174,55.62620666666343,60.12200363795546
2020-10-17,AVAX,4.03854072,4.19600869,3.97669431,4.19600869,6113717.11,3.849256799853218,4.068683550499999,4.568515672106981,3.568851428893017,53.26472061374593,-0.05541171772026399,-0.09060148596582318,0.035189768245559194,66.30419256541855,61.17365365962301
2020-10-18,AVAX,4.19232299,4.24636654,4.08395151,4.11606159,3717530.72,-1.9053130226000523,4.0642464735,4.560553911572873,3.5679390354271265,52.88057870989256,-0.0533174884123806,-0.08314468645513468,0.029827198042754077,60.81533215719252,60.915243796424825
2020-10-19,AVAX,4.11776531,4.16093878,3.99786687,4.05031145,5848392.05,-1.5974041826716356,4.0596145025,4.554556454844504,3.5646725501554957,51.31994189222673,-0.05631412917215961,-0.07777857499853966,0.021464445826380046,56.30118042084036,61.140235047817136
2020-10-20,AVAX,4.05350404,4.08160994,3.7143789,3.80220148,19646467.19,-6.125701024794028,4.033597265,4.525036876279507,3.5421576537204933,55.19490256482405,-0.07781241650050852,-0.07778534329893344,-2.707320157507853e-05,39.26690411539409,52.12780556447566
2020-10-21,AVAX,3.80043858,4.10850458,3.79433369,3.96595864,23475818.62,4.306903799322082,4.024340688,4.513430702091838,3.535250673908162,59.91065357946534,-0.08070580359251434,-0.07836943535764962,-0.0023363682348647163,46.38094238607437,47.316342307436265
2020-10-22,AVAX,3.97172469,4.49804432,3.96215341,4.31442085,24178361.26,8.786329904842383,4.04370391,4.5470497632913975,3.5403580567086013,58.16981627550701,-0.05425542284018192,-0.07354663285415608,0.019291210013974158,61.706011564825296,49.11795268876458
