Coin,Horizon,RF_RMSE,RF_MAE,XGB_RMSE,XGB_MAE,Best_Model,BestRMSE
ADA,Close_t+1,0.026156144,0.017474092,0.032773795,0.021493236,RF,0.026156144
ADA,Close_t+30,0.19379925,0.120515715,0.196972985,0.117578657,RF,0.19379925
ADA,Close_t+7,0.094426334,0.065486034,0.074885823,0.049138948,XGB,0.074885823
ADA,Close_t+90,0.276032633,0.174855854,0.26806234,0.168636501,XGB,0.26806234
AVAX,Close_t+1,2.338787298,1.646105057,2.475418645,1.721403184,RF,2.338787298
AVAX,Close_t+30,13.27442891,9.844739659,10.02608245,7.625982599,XGB,10.02608245
AVAX,Close_t+7,5.921507402,4.702493914,7.455103119,5.629781457,RF,5.921507402
AVAX,Close_t+90,19.60524463,16.43589637,19.75221285,15.44607954,RF,19.60524463
BCH,Close_t+1,20.67408129,13.16722764,23.29675308,15.44860536,RF,20.67408129
BCH,Close_t+30,106.8145909,77.30788892,86.7099731,61.53922229,XGB,86.7099731
BCH,Close_t+7,49.00134887,34.94890788,49.87932209,33.19101346,RF,49.00134887
BCH,Close_t+90,198.6579951,148.796571,206.1040134,147.6226867,RF,198.6579951
BNB,Close_t+1,28.52940207,18.6069749,34.88031554,21.16599859,RF,28.52940207
BNB,Close_t+30,142.900507,122.8433787,134.3119632,113.056559,XGB,134.3119632
BNB,Close_t+7,60.13935663,47.31366384,72.4782973,50.97312875,RF,60.13935663
BNB,Close_t+90,199.2668205,173.9932986,220.8304764,190.7701321,RF,199.2668205
BTC,Close_t+1,7387.171092,3510.715069,8003.226417,4394.118094,RF,7387.171092
BTC,Close_t+30,18506.07155,15585.08412,18528.08522,15247.01971,RF,18506.07155
BTC,Close_t+7,10955.61745,7992.284536,10812.36158,7748.164819,XGB,10812.36158
BTC,Close_t+90,31299.21118,28246.26076,31772.11378,28891.07809,RF,31299.21118
DOGE,Close_t+1,0.013489834,0.006782106,0.017471473,0.01064171,RF,0.013489834
DOGE,Close_t+30,0.073466226,0.042395471,0.071738822,0.040909033,XGB,0.071738822
DOGE,Close_t+7,0.029851301,0.017730887,0.029849762,0.018638353,XGB,0.029849762
DOGE,Close_t+90,0.107140876,0.06166817,0.106343269,0.061949759,XGB,0.106343269
DOT,Close_t+1,0.368212852,0.254888069,0.532106067,0.30625741,RF,0.368212852
DOT,Close_t+30,4.227448382,2.331398812,3.633616315,1.962577458,XGB,3.633616315
DOT,Close_t+7,1.376790973,1.015329379,1.442186448,0.931527493,RF,1.376790973
DOT,Close_t+90,8.346589163,4.920506594,7.98041076,6.287577672,XGB,7.98041076
ETH,Close_t+1,103.6434148,73.15713075,116.8489575,83.51096863,RF,103.6434148
ETH,Close_t+30,652.9341452,557.3418347,525.5160579,432.5118273,XGB,525.5160579
ETH,Close_t+7,269.1673812,195.9968209,270.1996972,207.1164996,RF,269.1673812
ETH,Close_t+90,815.1228614,614.798438,750.3667448,598.4105795,XGB,750.3667448
LEO,Close_t+1,0.946307089,0.377804551,1.006904733,0.427525252,RF,0.946307089
LEO,Close_t+30,1.69296855,1.188502126,1.916356195,1.491539318,RF,1.69296855
LEO,Close_t+7,1.164905332,0.599812856,1.296503723,0.756920614,RF,1.164905332
LEO,Close_t+90,3.039895805,2.564606576,3.273423249,2.857676125,RF,3.039895805
LINK,Close_t+1,0.838038684,0.578538965,0.98840179,0.682118199,RF,0.838038684
LINK,Close_t+30,4.661925627,3.492647001,4.616038316,3.613534525,XGB,4.616038316
LINK,Close_t+7,2.126277303,1.498544744,2.005161046,1.422935132,XGB,2.005161046
LINK,Close_t+90,7.701781607,6.164615741,7.91455984,6.231938287,RF,7.701781607
LTC,Close_t+1,3.607258645,2.470812263,4.5562498,3.410037594,RF,3.607258645
LTC,Close_t+30,22.28564708,17.34681548,20.50886445,16.36113668,XGB,20.50886445
LTC,Close_t+7,10.38519577,7.478421684,10.72609845,7.842465971,RF,10.38519577
LTC,Close_t+90,20.13424907,15.8829077,20.23652413,16.05026535,RF,20.13424907
MATIC,Close_t+1,0.040642101,0.030593873,0.039424093,0.030392902,XGB,0.039424093
MATIC,Close_t+30,0.30874751,0.273553624,0.347465105,0.265960432,RF,0.30874751
MATIC,Close_t+7,0.115412388,0.093688358,0.110201974,0.090036304,XGB,0.110201974
MATIC,Close_t+90,0.429976568,0.386561085,0.36937053,0.325908376,XGB,0.36937053
NEAR,Close_t+1,0.417974101,0.293782004,0.470804409,0.348810844,RF,0.417974101
NEAR,Close_t+30,2.775644566,2.17721474,2.326176552,1.856947525,XGB,2.326176552
NEAR,Close_t+7,1.278268224,0.948446639,1.221297142,0.913095088,XGB,1.221297142
NEAR,Close_t+90,4.069400477,3.080123855,3.677174869,2.710543639,XGB,3.677174869
SHIB,Close_t+1,1.55E-06,1.09E-06,1.10E-05,9.28E-06,RF,1.55E-06
SHIB,Close_t+30,8.99E-06,6.95E-06,1.05E-05,9.11E-06,RF,8.99E-06
SHIB,Close_t+7,6.65E-06,4.47E-06,1.10E-05,9.36E-06,RF,6.65E-06
SHIB,Close_t+90,7.58E-06,5.96E-06,7.48E-06,5.81E-06,XGB,7.48E-06
SOL,Close_t+1,8.530029315,6.646745631,12.48598375,10.03296306,RF,8.530029315
SOL,Close_t+30,47.99222557,41.08549146,48.11548858,40.55381886,RF,47.99222557
SOL,Close_t+7,23.2886885,18.73915949,27.27573972,22.64198587,RF,23.2886885
SOL,Close_t+90,69.96779001,60.11529501,87.43900031,79.91532312,RF,69.96779001
TON,Close_t+1,0.607409795,0.438316936,0.77754795,0.592733541,RF,0.607409795
TON,Close_t+30,0.849965775,0.761925277,1.881120775,1.7005813,RF,0.849965775
TON,Close_t+7,1.05980902,0.857904666,1.332025723,1.035353304,RF,1.05980902
TON,Close_t+90,2.05807483,1.765447979,1.118009106,0.834037994,XGB,1.118009106
TRX,Close_t+1,0.029494427,0.011313384,0.039972227,0.019291238,RF,0.029494427
TRX,Close_t+30,0.077144675,0.057195646,0.083016835,0.062658969,RF,0.077144675
TRX,Close_t+7,0.048445355,0.028742345,0.054408368,0.035733173,RF,0.048445355
TRX,Close_t+90,0.10328395,0.086334202,0.109060826,0.093166523,RF,0.10328395
UNI,Close_t+1,0.791164526,0.551930696,0.848399705,0.593176437,RF,0.791164526
UNI,Close_t+30,4.633841885,3.187986641,3.82292836,2.670848155,XGB,3.82292836
UNI,Close_t+7,2.06241869,1.449581497,2.145334022,1.482560586,RF,2.06241869
UNI,Close_t+90,9.827691509,6.210738437,9.30975918,6.136464195,XGB,9.30975918
XRP,Close_t+1,0.060303734,0.025150339,0.091875385,0.040525882,RF,0.060303734
XRP,Close_t+30,0.441872446,0.207921268,0.50133395,0.225326156,RF,0.441872446
XRP,Close_t+7,0.209789765,0.11101146,0.178922711,0.079105843,XGB,0.178922711
