Coin,Horizon,Naive_RMSE,Naive_MAE,ARIMA_Order,ARIMA_RMSE,ARIMA_MAE,RF_RMSE,RF_MAE,XGB_RMSE,XGB_MAE
ADA,Close_t+1,0.0246687410975894,0.0148462955382857,"(1, 1, 1)",0.2497177506229559,0.1663067474313969,0.0254447539957867,0.0167083100940616,0.0282745950217687,0.018720568149601
ADA,Close_t+30,0.1877611498312289,0.1128492328731428,"(1, 1, 1)",0.2949229959363676,0.2015550338883497,0.1991594860779467,0.1276624948954494,0.203981325833496,0.1256020289402168
ADA,Close_t+7,0.0719194872545163,0.0440980271253333,"(1, 1, 1)",0.2565891645233526,0.172459784000461,0.0703174842128312,0.048610805004826,0.0761730021123383,0.0523526806868357
ADA,Close_t+90,0.3071390647672892,0.226239574471619,"(1, 1, 1)",0.3343001756845327,0.2463178366968975,0.324284314692803,0.217755901977718,0.3162058209803824,0.2090108478410783
AVAX,Close_t+1,1.901589777784364,1.3426360920377851,"(2, 1, 2)",10.2380113799449,8.759490794332711,2.3378967516460483,1.6264713209049018,2.6335154887922725,1.8405750860276284
AVAX,Close_t+30,9.870560091977968,7.373301560849511,"(2, 1, 2)",9.47815730196552,7.940127826113472,13.767214181047429,10.29799457592807,13.147629601027775,9.960141073521696
AVAX,Close_t+7,4.963242907183656,3.685372059983061,"(2, 1, 2)",10.23198298545265,8.732188271591955,6.405295793927239,4.671013826474561,6.5165866481376,4.87037132353231
AVAX,Close_t+90,15.74800468312351,12.843039715374267,"(2, 1, 2)",10.62703164450844,9.296272862950376,25.241951646856464,22.064108412156106,26.56810960383826,21.47407017226044
BCH,Close_t+1,17.898023196944767,10.75862110583525,"(2, 1, 2)",134.23230794149,101.51491028349176,19.51829463576551,12.755352604395377,19.133087171697603,12.33078636082035
BCH,Close_t+30,89.0714887562729,59.47240543404824,"(2, 1, 2)",140.33137945352388,109.85352128807294,101.69452228204467,73.49025807628067,86.24712126456816,60.78577872645032
BCH,Close_t+7,47.38725660996733,31.07084387802338,"(2, 1, 2)",135.44695291736738,103.3606030879172,49.22072080895333,35.09850031083621,49.544625608253845,32.60281622094799
BCH,Close_t+90,148.5687614904787,112.77803464803692,"(2, 1, 2)",141.41211088841118,111.22904949994135,262.5593337642843,180.40487736987464,243.64350572114645,163.85538417029474
BNB,Close_t+1,14.280475041311506,9.017661084853344,"(2, 1, 2)",268.6855255847183,212.3629069075962,28.021810762617505,17.768952219650597,36.48362710015827,23.102802016531605
BNB,Close_t+30,67.11280185794489,43.64258449572732,"(2, 1, 2)",289.8161913835585,237.03009405568517,121.5360729952276,100.7396362553304,116.61600147962676,98.34033210584202
BNB,Close_t+7,36.988384834404734,25.343747919220267,"(2, 1, 2)",273.2345919229612,217.47693775314596,96.99365466377206,60.002879733102326,65.98999231968324,46.16831843786258
BNB,Close_t+90,135.5917971791325,102.4390516335288,"(2, 1, 2)",318.08286206909247,278.8655828248765,199.9402855716256,174.5667182853965,198.963941879836,174.26212785317713
BTC,Close_t+1,1281.2695982755693,805.0632813055612,"(1, 2, 1)",20360.46297533017,17901.663537832777,7386.967207285097,3532.1420891666608,7557.049216118768,3700.352237918135
BTC,Close_t+30,7423.045510945021,5110.333490793411,"(1, 2, 1)",21491.091571126777,18904.808725069903,18585.162593597044,15604.170734152152,19051.82512123537,15744.287903344715
